Timestamp,Topic
3,27.25
6,27.5
9,28.75
12,29.75
15,29.75
18,31.0
21,31.75
24,33.25
27,34.0
30,35.75
33,36.25
36,36.5
39,37.5
42,38.5
45,39.25
48,40.0
51,40.75
54,41.5
57,42.5
60,43.0
63,44.75
66,45.75
69,46.25
72,47.0
75,48.0
78,49.75
