Timestamp,Topic
3,21.25
6,21.75
9,22.0
12,22.5
15,23.0
18,23.5
21,23.25
24,24.0
27,23.75
30,25.25
33,26.25
36,27.0
39,28.25
42,28.75
45,29.75
48,30.75
51,32.0
54,33.25
57,34.0
60,35.25
63,36.0
66,36.75
69,37.75
72,38.5
75,39.25
78,40.5
81,40.75
84,41.75
87,42.75
90,43.5
93,44.5
96,45.75
99,46.5
102,47.5
105,48.5
108,49.5
111,50.25
115,51.0
118,51.75
121,52.5
124,53.25
127,54.0
130,54.75
